,sigma,x,y,z,t
11345,10,-1.1221607052235059,0.93076760987989,23.220682283584146,13.450000000000001
11346,10,-0.9297828482022603,0.8697431467391098,22.600475452998108,13.46
11347,10,-0.7613054921467292,0.8133112115302205,21.998681510880918,13.47
11348,10,-0.6139729463837019,0.7623274651370179,21.414398774020118,13.48
11349,10,-0.48522620338313455,0.7173330339360554,20.846824273336484,13.49
11350,10,-0.3727103778181092,0.6786303405326346,20.29524293655699,13.5
11351,10,-0.2742748593499917,0.6463459331385123,19.759016056168576,13.51
11352,10,-0.18796803553618835,0.6204820082882961,19.237570165578752,13.52
11353,10,-0.11202809532704872,0.6009582308279305,18.73038695073348,13.530000000000001
11354,10,-0.044871134864825316,0.5876453371248651,18.236994484307967,13.540000000000001
11355,10,0.014922458931526036,0.580391872433648,17.75695985455109,13.55
11356,10,0.06862259044524549,0.5790452642092929,17.289883134805937,13.56
11357,10,0.11736442585068756,0.5834682879268603,16.83539257329081,13.57
11358,10,0.16216331884982452,0.5935518469629253,16.393140857635924,13.58
11359,10,0.20392938726082954,0.6092248565313634,15.962802306740922,13.59
11360,10,0.24348153303132228,0.6304619076151604,15.544070852972682,13.6
11361,10,0.281560767605407,0.6572892873829059,15.136658707847117,13.61
11362,10,0.31884278895151,0.6897898323795877,14.740295610861569,13.620000000000001
11363,10,0.3559497800268864,0.7281070233829837,14.354728605450097,13.63
11364,10,0.39346145193307086,0.772448656142638,13.979722296540556,13.64
11365,10,0.4319253772199763,0.8230903673841037,13.615059575087782,13.65
11366,10,0.4718666779107629,0.8803792492330931,13.260542815627138,13.66
11367,10,0.5137971461091329,0.9447377462992282,12.915995576304422,13.67
11368,10,0.5582238903343048,1.0166679930410047,12.581264854395169,13.68
11369,10,0.6056575970211799,1.09675672927327,12.256223975141594,13.69
11370,10,0.6566205056893144,1.1856809054025903,11.94077621934132,13.700000000000001
11371,10,0.7116541983518025,1.284214066463348,11.634859324438672,13.71
11372,10,0.7713272925708707,1.3932335980348194,11.338451031435994,13.72
11373,10,0.8362431388642381,1.5137288828303168,11.051575889304862,13.73
11374,10,0.9070476058075708,1.6468104107043111,10.774313579062298,13.74
11375,10,0.984437038572958,1.7937198502631404,10.506809077081678,13.75
11376,10,1.0691664638888172,1.9558410594642064,10.249285049636926,13.76
11377,10,1.162058106039049,2.1347119720782204,10.002056943051171,13.77
11378,10,1.2640102591776623,2.3320372213964924,9.76555134640666,13.780000000000001
11379,10,1.3760065446411511,2.5497012878437,9.540328307998848,13.790000000000001
11380,10,1.4991255510898451,2.789781829776565,9.327108424990403,13.8
11381,10,1.6345508154246573,3.054562692867531,9.126805677676492,13.81
11382,10,1.7835810468507072,3.346545867503939,8.940567141695963,13.82
11383,10,1.947640424848297,3.668461355993844,8.769820907645839,13.83
11384,10,2.128288700024172,4.023273505019687,8.616333720763205,13.84
11385,10,2.327230683153396,4.414181782077193,8.48228005810529,13.85
11386,10,2.5463245512760277,4.844613365156048,8.370324415085339,13.86
11387,10,2.787588041299715,5.318203449385899,8.28371895525481,13.870000000000001
11388,10,3.0532015143973332,5.838759229316033,8.226417803276172,13.88
11389,10,3.3455061534077597,6.4102000059591155,8.203210145228818,13.89
11390,10,3.6669951943055423,7.036465733834333,8.219872294785102,13.9
11391,10,4.02029532068907,7.721382853267455,8.283338378789079,13.91
11392,10,4.408134459375838,8.468473842449741,8.4018864451915,13.92
11393,10,4.833291130877023,9.280693898744568,8.58533329302025,13.93
11394,10,5.298519293724109,10.160075133165721,8.845225657125692,13.94
11395,10,5.806440992128496,11.107255782921687,9.195006618245653,13.950000000000001
11396,10,6.359398086265122,12.120872675162914,9.650125652533891,13.96
11397,10,6.959252756780612,13.196796071304655,10.228044108924497,13.97
11398,10,7.607126113492956,14.32719643346111,10.948069915001335,13.98
11399,10,8.303064786202102,15.499450416330285,11.830930617014342,13.99
11400,10,9.045629015129501,16.69492658295403,12.897976795426205,14.0
11401,10,9.831401921964039,17.887743537312346,14.169886125245542,14.01
11402,10,10.654432395971831,19.04366695390849,15.664746105802148,14.02
11403,10,11.505642868206623,20.119406749024193,17.395426892190446,14.030000000000001
11404,10,12.372260371257836,21.062678728896433,19.366249120832496,14.040000000000001
11405,10,13.237362081499327,21.81347381399614,21.569117071740845,14.05
11406,10,14.07966242641245,22.306992168394313,23.9795375946434,14.06
11407,10,14.87369400507133,22.478564609047172,26.553244962009973,14.07
11408,10,15.590537494423703,22.27055871481724,29.224433066512525,14.08
11409,10,16.199215644768806,21.640715107465788,31.906714883198216,14.09
11410,10,16.668769758729557,20.570676816320994,34.49771858714,14.1
11411,10,16.9708869833631,19.072877191092523,36.887576703920715,14.11
11412,10,17.082770772558344,17.1937573529367,38.97051812292098,14.120000000000001
11413,10,16.98980041713564,15.011766690069596,40.65762642178249,14.13
11414,10,16.687474358301262,12.62978948462726,41.888063472118816,14.14
11415,10,16.182220708026346,10.16320239982687,42.63611744320661,14.15
11416,10,15.490881404325823,7.726076821652555,42.91244775344265,14.16
11417,10,14.6389648562801,5.418535344698169,42.75950120681702,14.17
11418,10,13.65802212670143,3.3177400781863238,42.242630121424284,14.18
11419,10,12.582645830521814,1.4737257350684196,41.43933159287691,14.19
11420,10,11.44758936262056,-0.09012007312469861,40.429021475424506,14.200000000000001
11421,10,10.285383859808066,-1.3731531537640875,39.28505186701946,14.21
11422,10,9.124653366498656,-2.3917681269578246,38.06970262990925,14.22
11423,10,7.989159188037917,-3.1733671951265454,36.83202740172548,14.23
11424,10,6.89748167942857,-3.751018920237806,35.607916870432426,14.24
11425,10,5.863184933608976,-4.1593132772595975,34.42157363753429,14.25
11426,10,4.895297131589109,-4.431511657304981,33.28766736210089,14.26
11427,10,3.9989592820048876,-4.597840247859221,32.213630040081796,14.27
11428,10,3.1761296672534165,-4.684667571112484,31.20175918931497,14.280000000000001
11429,10,2.4262678067539376,-4.714295378590771,30.2509684818803,14.290000000000001
11430,10,1.7469531282435464,-4.705131419338634,29.35814376236658,14.3
11431,10,1.1344171589900256,-4.672069731634044,28.519131401135166,14.31
11432,10,0.5839838485164652,-4.6269590855001805,27.729417935163692,14.32
11433,10,0.09042231909255222,-4.579085084339413,26.98456865533284,14.33
11434,10,-0.3517787009552547,-4.535623829839693,26.280488519445036,14.34
11435,10,-0.7482034676757287,-4.50204701624161,25.6135586934795,14.35
11436,10,-1.104357437379089,-4.482471441016064,24.980690599869554,14.36
11437,10,-1.4255605021537767,-4.47995367227474,24.379328630766953,14.370000000000001
11438,10,-1.7168759458082135,-4.496734303005592,23.807423724335433,14.38
11439,10,-1.9830672103898896,-4.534437749911503,23.26339295050855,14.39
11440,10,-2.2285758822031396,-4.594233791598905,22.746075028984112,14.4
11441,10,-2.457515532930042,-4.67696659011998,22.25468785194302,14.41
11442,10,-2.6736770670168166,-4.7832562348553616,21.788791498945926,14.42
11443,10,-2.8805420697254824,-4.913577064806628,21.348258468991432,14.43
11444,10,-3.081301304851371,-5.068316342489415,20.93325174643415,14.44
11445,10,-3.2788763081388987,-5.247815825798673,20.544210500953483,14.450000000000001
11446,10,-3.4759420506381646,-5.4523986221604765,20.181843024906847,14.46
11447,10,-3.6749493909381754,-5.682382740140915,19.847126079407804,14.47
11448,10,-3.8781460712026647,-5.938082401141437,19.541309760963287,14.48
11449,10,-4.087595278138914,-6.219797678501865,19.26592686679603,14.49
11450,10,-4.305190893535414,-6.527792606679915,19.022805599145922,14.5
11451,10,-4.532668641553562,-6.862261522627836,18.814084250374517,14.51
11452,10,-4.7716123804892465,-7.223283096464253,18.64222624192524,14.52
11453,10,-5.02345480075706,-7.610761231387399,18.510033489154115,14.530000000000001
11454,10,-5.289471760962181,-8.024351909957074,18.420655541277995,14.540000000000001
11455,10,-5.570769470885597,-8.463375060450405,18.377591251210823,14.55
11456,10,-5.868263760789916,-8.926710760802026,18.384678959791824,14.56
11457,10,-6.182650680769139,-9.412679633695765,18.446070200904206,14.57
